lead_type,axis_score,name,business_id,toi_code,toi_description,nearest_station,distance_km,best_website,website_status,registered,s_webshop,s_pim,s_data
webshop,7,Keravan Silmäkulma Oy,0424625-1,47741.0,Optisten lääkinnällisten tuotteiden vähittäiskauppa,Kerava,0.197,www.keravansilmakulma.fi,live,1981-04-23,7,4,2
webshop,7,Ilves-Interiööri Oy,1963961-3,47555.0,"Muu ruokailuvälineiden, astioiden ja taloustavaroiden vähittäiskauppa",Pasila,2.515,www.ilvesinterioori.fi,live,2005-05-11,7,4,2
webshop,7,Makia Clothing Oy,2039316-3,47712.0,Vaatteiden vähittäiskauppa ilman erikoistumista tiettyyn tuoteryhmään,Pasila,0.939,www.makia.com,live,2006-05-31,7,4,2
webshop,7,Finsoffat Oy,1958763-0,47551.0,Huonekalujen vähittäiskauppa,Kerava,2.545,www.finsoffat.fi,live,2005-04-14,7,4,2
webshop,7,Päijät-Hämeen Käyttöauto Oy,0997266-6,47811.0,Autojen ja kevyiden moottoriajoneuvojen vähittäiskauppa,Lahti,1.659,www.vuokrauspalvelu.fi,live,1995-04-05,7,4,2
webshop,7,E2 Software Oy,0748586-4,47400.0,Tieto- ja viestintäteknisten laitteiden vähittäiskauppa,Pasila,0.308,www.weare.fi,live,1989-07-26,7,4,2
webshop,7,Kenkä-Meklari Oy,0745670-5,47721.0,Jalkineiden vähittäiskauppa,Pasila,2.797,www.kenkameklari.fi,live,1989-07-19,7,4,2
webshop,7,Suomen Luonnonsuojelun Tuki Oy,0202203-5,47712.0,Vaatteiden vähittäiskauppa ilman erikoistumista tiettyyn tuoteryhmään,Pasila,2.213,www.luontokauppa.fi,live,1974-12-13,7,4,2
webshop,7,Jujukas Oy,2504862-5,47632.0,Polkupyörien ja muiden urheiluvälineiden vähittäiskauppa,Pasila,2.982,www.jujukas.fi,live,2012-11-22,7,3,1
webshop,7,Westvision Oy,1614179-9,47741.0,Optisten lääkinnällisten tuotteiden vähittäiskauppa,Pasila,2.896,www.kruunuoptiikka.fi,live,1999-08-19,7,4,2
webshop,7,Oy Annette Tillander Ab,2161236-4,47770.0,Kellojen ja korujen vähittäiskauppa,Pasila,3.062,www.annettetillander.fi,live,2007-12-11,7,4,2
webshop,7,ThinkIT Oy,1928345-0,47400.0,Tieto- ja viestintäteknisten laitteiden vähittäiskauppa,Pasila,0.939,www.tukikomppania.fi,live,2004-11-16,7,4,2
webshop,7,Musiikki Silfverberg Oy,0213704-3,47699.0,Muu muualla luokittelematon kulttuuri- ja vapaa-ajan tuotteiden vähittäiskauppa,Tikkurila,0.663,www.musiikkisilfverberg.fi,live,1977-12-31,7,4,2
webshop,7,Optiminäkö Oy,1080859-9,47741.0,Optisten lääkinnällisten tuotteiden vähittäiskauppa,Lahti,0.835,https://optiminako.fi/,live,1997-04-22,7,4,2
webshop,7,LXR Group Oy,1946212-5,47721.0,Jalkineiden vähittäiskauppa,Pasila,0.663,www.tanssitarvike.fi,live,2005-02-15,7,4,2
webshop,7,Keskusmusiikki Lahti Oy,1572757-9,47699.0,Muu muualla luokittelematon kulttuuri- ja vapaa-ajan tuotteiden vähittäiskauppa,Lahti,0.612,https://keskusmusiikki.fi/,live,2000-01-10,7,4,2
webshop,7,Ajan-Avain Oy,0222897-3,47596.0,Lukkoseppä- ja avainliikkeet,Pasila,2.698,www.ajan-avain.fi,live,1967-11-10,7,4,2
webshop,7,Pintaväri Oy,0222912-4,47532.0,Seinäpinnoitteiden ja lattianpäällysteiden vähittäiskauppa,Tikkurila,2.524,www.pintavari.fi,live,1978-01-13,7,4,2
webshop,7,Lahden Polkupyörähuolto Oy,2909946-2,47632.0,Polkupyörien ja muiden urheiluvälineiden vähittäiskauppa,Lahti,1.063,www.pyorakauppa.fi/,live,2018-05-11,7,3,1
webshop,7,Tehocom Oy,1548415-9,47400.0,Tieto- ja viestintäteknisten laitteiden vähittäiskauppa,Tikkurila,2.094,www.tehocom.fi,live,1999-09-03,7,4,2
webshop,7,Marja Entrich Oy,1544009-2,47750.0,Kosmetiikka- ja hygieniatuotteiden vähittäiskauppa,Pasila,1.478,www.marjaentrich.fi,live,1999-06-08,7,4,2
webshop,7,Akku-Palvelu V. Häkkinen Oy,0290455-6,47822.0,Muu moottoriajoneuvojen osien ja varusteiden vähittäiskauppa,Pasila,2.36,www.akkupalvelu.fi,live,1979-04-12,7,4,2
webshop,7,HORSEPRO OY,0704240-6,47782.0,Muu muualla luokittelematon uusien tavaroiden vähittäiskauppa,Lahti,0.759,www.horsepro.fi,live,1989-04-12,7,4,2
webshop,7,Avasa Oy,0493811-9,47811.0,Autojen ja kevyiden moottoriajoneuvojen vähittäiskauppa,Kerava,1.41,https://www.avasa.fi/collections/frontpage,live,1982-10-07,7,4,2
webshop,7,ArtShop Finland Oy,2093601-7,47782.0,Muu muualla luokittelematon uusien tavaroiden vähittäiskauppa,Lahti,1.502,www.artshop.fi,live,2007-02-19,7,4,2
webshop,7,Hake Golf Oy,3595907-8,47632.0,Polkupyörien ja muiden urheiluvälineiden vähittäiskauppa,Pasila,0.13,https://www.hake.golf/,live,2026-02-03,7,3,1
webshop,7,Rengasverkko H & T Oy,2370659-1,47821.0,Moottoriajoneuvojen renkaiden vähittäiskauppa,Savio,2.01,www.rengasverkko.net,live,2010-11-25,7,4,2
webshop,7,Kalavei Oy,3211871-6,47632.0,Polkupyörien ja muiden urheiluvälineiden vähittäiskauppa,Pasila,1.887,www.kalavei.com,live,2021-05-27,7,3,1
webshop,7,Vetokonsultit Oy,0558718-9,47400.0,Tieto- ja viestintäteknisten laitteiden vähittäiskauppa,Savio,2.288,www.vetokonsultit.fi,live,1984-04-19,7,4,2
webshop,7,Lahden Verkkopalvelu Oy,0558848-0,47400.0,Tieto- ja viestintäteknisten laitteiden vähittäiskauppa,Lahti,1.785,www.verkkopalvelu.fi,live,1984-10-18,7,4,2
webshop,7,Enenet Oy,1061739-7,47555.0,"Muu ruokailuvälineiden, astioiden ja taloustavaroiden vähittäiskauppa",Tikkurila,0.017,www.promohobby.com,live,1996-07-10,7,4,2
webshop,7,Pasilan Kuva Oy,2000751-7,47781.0,Valokuvaustarvikkeiden vähittäiskauppa,Kerava,0.305,www.fotoliike.fi,live,2005-11-21,7,4,2
webshop,7,Mini More Oy,2112348-0,47711.0,Erikoistunut vaatteiden vähittäiskauppa,Lahti,0.847,minimore.fi,live,2007-05-02,7,4,2
webshop,7,VPD Finland Oy,2015063-9,47400.0,Tieto- ja viestintäteknisten laitteiden vähittäiskauppa,Tikkurila,0.128,www.vpd.fi,live,2006-02-08,7,4,2
webshop,7,Rasalas Oy,0580102-6,47742.0,Muu lääkinnällisten ja ortopedisten tuotteiden vähittäiskauppa,Pasila,2.902,www.rasalas.fi,live,1985-02-28,7,4,2
webshop,7,Floranna Oy,2351818-7,47761.0,Kukkien ja koristekasvien vähittäiskauppa,Pasila,2.395,www.floranna.fi,live,2010-09-06,7,4,2
webshop,7,KAAVAINMAAILMA OY,2361885-8,47782.0,Muu muualla luokittelematon uusien tavaroiden vähittäiskauppa,Lahti,1.136,www.kaavain.fi,live,2010-11-10,7,4,2
webshop,7,Optikko Mäkelä Optila Oy,0606241-3,47741.0,Optisten lääkinnällisten tuotteiden vähittäiskauppa,Lahti,0.612,WWW.OPTIKKOMAKELA.FI,live,1983-07-28,7,4,2
webshop,7,Aurinkokeittiöt Oy,2810244-7,47523.0,Keittiö- ja saniteettikalusteiden vähittäiskauppa,Tikkurila,1.967,www.aurinkokeittiot.fi,live,2017-02-27,7,3,1
webshop,7,Kaivokukka Oy,0585773-2,47761.0,Kukkien ja koristekasvien vähittäiskauppa,Pasila,2.515,www.kaivokukka.fi,live,1985-04-11,7,4,2
webshop,7,Eurorc Oy,2352786-8,47782.0,Muu muualla luokittelematon uusien tavaroiden vähittäiskauppa,Tikkurila,2.102,www.eurorc.fi,live,2010-09-09,7,4,2
webshop,7,Kaihdin ja Markiisi Lahti Oy,2356673-6,47531.0,Mattojen ja verhojen vähittäiskauppa,Lahti,0.612,www.kaihdinjamarkiisilahti.fi,live,2010-09-24,7,4,2
webshop,7,Musti ja Mirri Oy,1083808-5,47763.0,Lemmikkieläinten ja lemmikkieläinten ruokien vähittäiskauppa,Pasila,2.876,www.mustijamirri.fi,live,1997-04-09,7,4,2
webshop,7,LaKo Trade Oy,2017795-4,47699.0,Muu muualla luokittelematon kulttuuri- ja vapaa-ajan tuotteiden vähittäiskauppa,Savio,0.269,www.suomikauppa.fi,live,2006-02-13,7,4,2
webshop,7,FixCom Oy,1992815-9,47400.0,Tieto- ja viestintäteknisten laitteiden vähittäiskauppa,Pasila,2.288,www.fixcom.fi,live,2005-10-28,7,4,2
webshop,7,Satusilmä Oy,1056637-4,47741.0,Optisten lääkinnällisten tuotteiden vähittäiskauppa,Pasila,2.998,www.satusilma.fi,live,1996-09-02,7,4,2
webshop,7,"""Burton"" Sportartikel Gesellschaft m.b.H. Branch Finland",2859423-4,47632.0,Polkupyörien ja muiden urheiluvälineiden vähittäiskauppa,Pasila,2.363,www.burton.com,live,2024-03-26,7,3,1
webshop,7,Lahen Fillaripiste Oy,3192974-4,47632.0,Polkupyörien ja muiden urheiluvälineiden vähittäiskauppa,Lahti,0.855,https://www.fillaripiste.fi/,live,2021-02-26,7,3,1
webshop,7,Finrea Oy,2136876-0,47699.0,Muu muualla luokittelematon kulttuuri- ja vapaa-ajan tuotteiden vähittäiskauppa,Lahti,0.398,http://www.Finrea.fi,live,2007-09-04,7,4,2
webshop,7,Hockey Busters Oy,1044626-8,47782.0,Muu muualla luokittelematon uusien tavaroiden vähittäiskauppa,Lahti,0.662,www.hbpromotion.fi,live,1996-05-22,7,4,2
webshop,7,Etelä-Suomen Kalustetalot Oy,1482500-3,47551.0,Huonekalujen vähittäiskauppa,Lahti,0.9,www.kalustetalot.fi,live,1998-09-18,7,4,2
webshop,7,Kanavan Lasimestari Oy,2980806-2,47521.0,Rautakauppatavaran ja rakennustarvikkeiden vähittäiskauppa ilman erikoistumista tiettyyn tuoteryhmään,Lahti,1.897,lasimestari.fi,live,2019-02-21,7,3,1
webshop,7,Affix Scaffolding Europe Oy,3558220-7,47521.0,Rautakauppatavaran ja rakennustarvikkeiden vähittäiskauppa ilman erikoistumista tiettyyn tuoteryhmään,Tikkurila,0.943,www.affixscaffolding.eu,live,2025-08-28,7,3,1
webshop,7,Arona Ky,2079727-2,47782.0,Muu muualla luokittelematon uusien tavaroiden vähittäiskauppa,Tikkurila,2.123,www.arona.fi,live,2006-12-15,7,4,2
webshop,7,Viherpaja Oy,0639065-2,47762.0,Muu kasvien ja lannoitteiden vähittäiskauppa,Tikkurila,2.843,www.viherkasvi.com,live,1987-03-25,7,4,2
webshop,7,Design Made Oy,1992452-9,47555.0,"Muu ruokailuvälineiden, astioiden ja taloustavaroiden vähittäiskauppa",Pasila,2.004,www.designmade.fi,live,2005-11-14,7,4,2
webshop,7,Kukkahuone Yhtymä Oy,2336201-2,47761.0,Kukkien ja koristekasvien vähittäiskauppa,Pasila,1.558,www.bieder.fi,live,2010-05-21,7,4,2
webshop,7,EnviroProcess Finland Oy,1055112-1,47782.0,Muu muualla luokittelematon uusien tavaroiden vähittäiskauppa,Savio,0.612,www.enviroprocess.com/fi,live,1996-06-10,7,4,2
webshop,7,Simolan Taide ja Kehys Ky,0635307-7,47691.0,Taideliikkeet,Lahti,1.028,https://www.simolan.fi/,live,1983-01-13,7,4,2
webshop,7,Florencia Oy,2337276-3,47761.0,Kukkien ja koristekasvien vähittäiskauppa,Lahti,0.676,www.florencia.fi,live,2010-05-26,7,4,2
webshop,7,Viherviisikko Oy,1056612-0,47762.0,Muu kasvien ja lannoitteiden vähittäiskauppa,Tikkurila,2.094,www.viherviisikko.fi,live,1996-08-15,7,4,2
webshop,7,Highlight Holding Oy,1987550-1,47552.0,Valaisimien vähittäiskauppa,Pasila,0.593,https://www.highlightholdings.com/,live,2005-12-22,7,4,2
webshop,7,Ruutu-Rouva Oy,0532247-1,47799.0,Muu käytettyjen tavaroiden vähittäiskauppa,Pasila,1.366,https://www.ruutu.fi/,live,1983-06-16,7,4,2
webshop,7,Peten Koiratarvike Oy,1917875-7,47763.0,Lemmikkieläinten ja lemmikkieläinten ruokien vähittäiskauppa,Pasila,2.876,www.petenkoiratarvike.com,live,2004-09-27,7,4,2
webshop,7,Domitor Oy,2007022-5,47742.0,Muu lääkinnällisten ja ortopedisten tuotteiden vähittäiskauppa,Pasila,2.225,www.finndent.com,live,2005-12-16,7,4,2
webshop,7,Pääkaupunkiseudun Kierrätyskeskus Oy,0809814-5,47799.0,Muu käytettyjen tavaroiden vähittäiskauppa,Pasila,2.088,www.kierratyskeskus.fi,live,1990-07-11,7,4,2
webshop,7,Närhi Oy Sisustuspalvelu,0803603-2,47531.0,Mattojen ja verhojen vähittäiskauppa,Kerava,0.305,www.sisustusnarhi.com,live,1990-08-01,7,4,2
pim,7,Jungheinrich Lift Truck Oy,1893988-4,46642.0,Muu teollisuuskäyttöön tarkoitettujen koneiden tukkukauppa,Kerava,1.375,www.jungheinrich.fi,live,2004-04-29,5,7,4
pim,7,Airam Electric Oy Ab,0733549-5,46641.0,Sähkölaitteiden tukkukauppa,Savio,0.894,https://www.airam.fi/en,live,1988-11-02,5,7,4
pim,7,Onninen Oy,1071207-9,46842.0,LVI-laitteiden ja -tarvikkeiden tukkukauppa,Pasila,2.417,www.onninen.fi,live,1996-12-09,5,7,4
pim,7,Thinkflow Group Oy,2378999-9,46642.0,Muu teollisuuskäyttöön tarkoitettujen koneiden tukkukauppa,Savio,0.486,https://www.thinkflow.fi/,live,2010-12-23,5,7,4
pim,7,Heatchem Oy,1744434-5,46641.0,Sähkölaitteiden tukkukauppa,Pasila,2.36,www.heatchem.com,live,2002-02-01,5,7,4
pim,7,Dräger Suomi Oy,2284733-3,46641.0,Sähkölaitteiden tukkukauppa,Tikkurila,2.773,www.draeger.fi,live,2009-09-11,5,7,4
pim,7,Oy Sea Safety Scandinavia Ltd,0663405-5,46642.0,Muu teollisuuskäyttöön tarkoitettujen koneiden tukkukauppa,Pasila,1.38,https://seasafety.net/,live,1987-09-30,5,7,4
pim,7,Rimeki Oy,0893374-5,46649.0,Muu muualla luokittelematon koneiden ja laitteiden tukkukauppa,Kerava,1.341,https://rimeki.fi/,live,1992-08-19,5,7,4
pim,7,KYOCERA UNIMERCO Tooling Oy,2146396-0,46841.0,Rautakauppatavaroiden tukkukauppa,Lahti,1.785,www.kyocera-unimerco.fi,live,2007-10-11,5,7,4
pim,7,Elgood Oy,1078149-6,46641.0,Sähkölaitteiden tukkukauppa,Tikkurila,2.773,www.elgood.fi,live,1997-03-12,5,7,4
pim,7,Muotitorppa Oy,2196262-0,46421.0,Vaatteiden tukkukauppa,Pasila,0.961,www.muotitorppa.fi,live,2008-05-23,5,7,4
pim,7,Ingeo Oy,1047194-9,46649.0,Muu muualla luokittelematon koneiden ja laitteiden tukkukauppa,Pasila,2.326,www.ingeo.fi,live,1996-05-13,5,7,4
pim,7,Hydromarket Oy,0899486-3,46642.0,Muu teollisuuskäyttöön tarkoitettujen koneiden tukkukauppa,Savio,1.003,www.hydromarket.fi,live,1992-04-15,5,7,4
pim,7,SEAMOTION OY,2292759-5,46649.0,Muu muualla luokittelematon koneiden ja laitteiden tukkukauppa,Lahti,0.251,www.seamotion.fi,live,2009-10-23,5,7,4
pim,7,WL-Done Oy,2186761-5,46642.0,Muu teollisuuskäyttöön tarkoitettujen koneiden tukkukauppa,Tikkurila,2.974,www.wl-done.fi,live,2008-04-09,5,7,4
pim,7,Zio Oy,2296073-1,46421.0,Vaatteiden tukkukauppa,Pasila,3.062,www.zio.fi,live,2009-11-12,5,7,4
pim,7,KSB-Trading Oy,1073097-1,46421.0,Vaatteiden tukkukauppa,Pasila,1.201,shop.hifk.fi,live,1996-09-11,5,7,4
pim,7,Protech Lahti Oy,2090571-2,46642.0,Muu teollisuuskäyttöön tarkoitettujen koneiden tukkukauppa,Lahti,3.097,www.protech.fi,live,2007-02-08,5,7,4
pim,7,Imuripiste Karppinen Oy,0789788-5,46642.0,Muu teollisuuskäyttöön tarkoitettujen koneiden tukkukauppa,Lahti,0.855,www.imuripiste.fi,live,1990-02-28,5,7,4
pim,7,Holtab AB Filial i Finland,1801818-8,46641.0,Sähkölaitteiden tukkukauppa,Pasila,2.357,www.holtab.se,live,2003-01-14,5,7,4
pim,7,Mainio Clothing Oy,2127372-9,46421.0,Vaatteiden tukkukauppa,Pasila,2.004,www.mainioclothing.fi,live,2007-07-25,5,7,4
pim,7,Oy Armatec Finland Ab,1789130-5,46842.0,LVI-laitteiden ja -tarvikkeiden tukkukauppa,Tikkurila,2.773,www.armatec.com,live,2002-10-23,5,7,4
pim,7,Oy Säätö Ab,0196596-3,46642.0,Muu teollisuuskäyttöön tarkoitettujen koneiden tukkukauppa,Tikkurila,2.943,www.saato.fi,live,1969-07-11,5,7,4
pim,7,Resta Turku Oy,2239554-1,46642.0,Muu teollisuuskäyttöön tarkoitettujen koneiden tukkukauppa,Pasila,1.366,www.restaturku.fi,live,2009-01-12,5,7,4
pim,7,Nordic Simulators Oy,2118168-0,46649.0,Muu muualla luokittelematon koneiden ja laitteiden tukkukauppa,Lahti,3.014,www.nordicsimulators.fi,live,2007-06-14,5,7,4
pim,7,Oy Plentrafo Ab,0820740-1,46421.0,Vaatteiden tukkukauppa,Pasila,2.99,www.selectedbrands.com,live,1990-10-31,5,7,4
pim,7,Sondex Tapiro Oy Ab,2110934-7,46842.0,LVI-laitteiden ja -tarvikkeiden tukkukauppa,Tikkurila,2.363,www.sondextapiro.fi,live,2007-04-20,5,7,4
pim,7,ALBIOX Oy,1842690-7,46641.0,Sähkölaitteiden tukkukauppa,Pasila,0.672,albiox.com,live,2003-09-01,5,7,4
pim,7,Grafinet Oy,0818124-8,46642.0,Muu teollisuuskäyttöön tarkoitettujen koneiden tukkukauppa,Tikkurila,2.554,www.grafinetoy.fi,live,1990-02-14,5,7,4
pim,7,Semikron Danfoss Oy,1446227-3,46642.0,Muu teollisuuskäyttöön tarkoitettujen koneiden tukkukauppa,Pasila,2.497,www.semikron.com,live,1998-01-26,5,7,4
pim,7,Thinkflow Oy,1763560-0,46642.0,Muu teollisuuskäyttöön tarkoitettujen koneiden tukkukauppa,Savio,0.486,https://www.thinkflow.fi/en,live,2002-05-22,5,7,4
pim,7,Blue Shop Oy,0843148-9,46411.0,Kankaiden ja lankojen tukkukauppa,Lahti,1.659,blueshopoy.fi,live,1991-08-21,5,7,4
pim,7,Oy Scandiagent Forsström & Co Ab,1107156-8,46421.0,Vaatteiden tukkukauppa,Pasila,2.99,www.scandiagent.fi,live,1997-09-30,5,7,4
pim,7,Oryx Oy,0847229-9,46641.0,Sähkölaitteiden tukkukauppa,Tikkurila,2.094,www.oryx.fi,live,1991-06-05,5,7,4
pim,7,Nilfisk Oy,1908664-1,46649.0,Muu muualla luokittelematon koneiden ja laitteiden tukkukauppa,Tikkurila,2.676,www.nilfisk.fi,live,2004-07-28,5,7,4
pim,7,Touchpoint Group Oy,2228022-6,46412.0,Muu tekstiilien tukkukauppa,Pasila,0.939,www.touchpoint.fi,live,2008-10-28,5,7,4
pim,7,Teuvo Louhisola Oy,0110991-3,46649.0,Muu muualla luokittelematon koneiden ja laitteiden tukkukauppa,Pasila,2.36,www.teuvolouhisola.fi,live,1976-01-23,5,7,4
pim,7,KMV-tuotteet Oy,0563908-1,46842.0,LVI-laitteiden ja -tarvikkeiden tukkukauppa,Savio,0.948,www.kmv.fi,live,1984-05-24,5,7,4
pim,7,Helsinki Valve & Fitting Ab,0521669-5,46842.0,LVI-laitteiden ja -tarvikkeiden tukkukauppa,Tikkurila,2.866,swagelok.fi,live,1983-10-06,5,7,4
pim,7,KSB Finland Oy,0987983-2,46642.0,Muu teollisuuskäyttöön tarkoitettujen koneiden tukkukauppa,Savio,0.486,https://www.ksb.com/en-fi/company,live,1994-12-14,5,7,4
pim,7,Tornokone Oy,0515191-6,46630.0,Kaivos- ja rakennuskoneiden tukkukauppa,Savio,0.894,www.tornokone.fi,live,1983-06-02,5,7,4
pim,7,Fais Finland Oy,0921077-6,46421.0,Vaatteiden tukkukauppa,Pasila,1.933,www.fais.fi,live,1993-01-13,5,7,4
pim,7,Helrot Oy,0635690-5,46642.0,Muu teollisuuskäyttöön tarkoitettujen koneiden tukkukauppa,Pasila,2.99,www.helrot.fi,live,1986-06-12,5,7,4
pim,7,Finkova Oy,2352549-1,46649.0,Muu muualla luokittelematon koneiden ja laitteiden tukkukauppa,Tikkurila,2.773,www.finkova.fi,live,2010-09-08,5,7,4
pim,7,Alestalo Overseas Oy.,1630969-4,46649.0,Muu muualla luokittelematon koneiden ja laitteiden tukkukauppa,Lahti,1.124,https://www.alestalo.eu/,live,2000-11-13,5,7,4
pim,7,HARMAC Oy,2310196-3,46649.0,Muu muualla luokittelematon koneiden ja laitteiden tukkukauppa,Tikkurila,1.995,www.harmac.fi,live,2010-02-04,5,7,4
pim,7,ETC TEAM OY,1974535-2,46421.0,Vaatteiden tukkukauppa,Tikkurila,0.152,www.pelipaita.fi,live,2005-07-14,5,7,4
